0 WALK 2 4
0 WALK 5 7
0 WALK 8 10
0 WALK 11 13
0 WALK 14 16
0 WALK 17 19
0 WALK 20 22
0 WALK 23 25
0 WALK 26 28
0 WALK 29 43
0 GRAB 44 53
0 WALK 54 69
0 PUTBACK 70 79
0 WALK 80 82
0 WALK 83 85
0 WALK 86 88
0 WALK 89 91
0 WALK 92 94
0 WALK 95 97
0 WALK 98 100
0 WALK 101 103
0 WALK 104 106
0 WALK 107 109
0 WALK 110 112
0 WALK 113 115
0 WALK 116 118
0 WALK 119 121
0 WALK 122 124
0 GRAB 125 134
0 WALK 135 137
0 WALK 138 140
0 WALK 141 143
0 WALK 144 146
0 WALK 147 149
0 WALK 150 152
0 WALK 153 155
0 WALK 156 158
0 WALK 159 161
0 WALK 162 164
0 WALK 165 167
0 WALK 168 170
0 WALK 171 173
0 WALK 174 194
0 PUTBACK 195 204
0 WALK 205 207
0 WALK 208 210
0 WALK 211 213
0 WALK 214 216
0 WALK 217 219
0 WALK 220 222
0 WALK 223 225
0 WALK 226 228
0 WALK 229 231
0 WALK 232 234
0 WALK 235 237
0 WALK 238 240
0 WALK 241 243
0 WALK 244 246
0 WALK 247 249
0 WALK 250 262
0 OPEN 263 273
0 GRAB 274 283
0 WALK 284 301
0 CLOSE 302 312
0 WALK 313 315
0 WALK 316 318
0 WALK 319 321
0 WALK 322 324
0 WALK 325 327
0 WALK 328 330
0 WALK 331 333
0 WALK 334 336
0 WALK 337 339
0 WALK 340 342
0 WALK 343 345
0 WALK 346 348
0 WALK 349 351
0 WALK 352 372
0 PUTBACK 373 382
0 WALK 383 385
0 WALK 386 388
0 WALK 389 395
0 OPEN 396 406
0 WALK 407 422
0 CLOSE 423 433
0 WALK 434 439
0 OPEN 440 450
0 WALK 451 469
0 CLOSE 470 480
0 WALK 481 483
0 WALK 484 486
0 WALK 487 489
0 WALK 490 492
0 WALK 493 495
0 WALK 496 498
0 WALK 499 501
0 WALK 502 504
0 WALK 505 507
0 WALK 508 510
0 WALK 511 513
0 WALK 514 516
0 WALK 517 519
0 WALK 520 524
0 OPEN 525 535
0 WALK 536 554
0 CLOSE 555 565
0 WALK 566 568
0 WALK 569 571
0 WALK 572 574
0 WALK 575 577
0 WALK 578 580
0 WALK 581 583
0 WALK 584 586
0 WALK 587 589
0 WALK 590 592
0 WALK 593 595
0 WALK 596 598
0 WALK 599 601
0 WALK 602 604
0 WALK 605 609
0 OPEN 610 620
0 GRAB 621 630
0 WALK 631 633
0 WALK 634 654
0 PUTBACK 655 664
0 WALK 665 667
0 WALK 668 670
0 WALK 671 673
0 WALK 674 684
0 GRAB 685 694
0 WALK 695 713
0 CLOSE 714 724
0 WALK 725 751
0 PUTBACK 752 759
